locus	segsites1	pairlocus	segsites2	segsites
366945	6	810340	1	7
366954	5	507	1	6
366957	1	366956	4	5
366972	7	366971	2	9
366975	1	366974	3	4
366980	1	366979	3	4
366983	5	366982	5	10
366986	2	366985	8	10
366992	14	366991	4	18
366998	1	366997	5	6
367000	2	366999	5	7
367003	2	549	1	3
367011	1	367010	1	2
367015	2	367014	2	4
367018	5	556	5	10
367020	5	367019	2	7
367023	8	367022	3	11
367028	3	367027	2	5
367034	5	367033	6	11
367044	5	367043	3	8
367045	2	573	4	6
367047	2	367046	4	6
367050	1	367049	3	4
367063	6	367062	3	9
367065	2	367064	4	6
367068	3	367067	8	11
367070	2	367069	1	3
367073	4	367072	5	9
367081	1	367080	2	3
367084	4	367083	5	9
367099	2	367098	4	6
367106	6	288132	1	7
367111	3	367110	3	6
367116	4	367115	3	7
367118	1	367117	2	3
367122	3	367121	2	5
367124	2	367123	3	5
367136	5	367135	5	10
367140	6	367139	6	12
367144	2	680	4	6
367152	2	367151	5	7
367155	8	367154	12	20
367161	4	688	3	7
367164	2	367163	1	3
367169	3	367168	1	4
367174	7	367173	2	9
367182	7	367181	5	12
367187	1	367186	3	4
367208	4	367207	8	12
367209	2	717	1	3
367227	2	367226	2	4
367264	8	367263	1	9
367267	2	367266	1	3
367275	1	367274	3	4
367279	2	367278	4	6
367280	19	796	2	21
367285	1	367284	2	3
367288	7	367287	5	12
367299	8	367298	6	14
367302	1	367301	2	3
367310	4	367309	4	8
367322	5	367321	3	8
367325	9	840	2	11
367342	4	367341	6	10
367343	2	854	2	4
367358	6	367357	2	8
367361	6	877	4	10
367362	4	878	5	9
367375	2	367374	3	5
367378	3	367377	7	10
367387	2	367386	10	12
367411	8	367410	1	9
367436	9	945	3	12
367441	6	952	5	11
367443	3	367442	5	8
367447	3	367446	5	8
367455	6	367454	6	12
367466	4	975	6	10
367483	1	367482	5	6
367492	2	367491	4	6
367494	5	367493	6	11
367497	3	367496	3	6
367502	2	367501	2	4
367520	7	1015	1	8
367528	4	367527	10	14
367537	3	367536	2	5
367545	3	1046	1	4
367584	4	367583	1	5
367590	1	367589	4	5
367598	6	367597	4	10
367608	5	367607	4	9
367610	4	1095	3	7
367616	2	1099	2	4
367631	1	367630	4	5
367648	2	367647	2	4
367673	4	367672	2	6
367676	4	367675	1	5
367678	3	1150	3	6
367700	6	367699	5	11
367704	2	367703	5	7
367719	4	288288	1	5
367726	1	367725	5	6
367733	6	367732	5	11
367737	3	367736	1	4
367742	1	810628	5	6
367748	1	367747	9	10
367753	5	367752	6	11
367759	3	367758	2	5
367763	2	1225	3	5
367773	3	367772	4	7
367779	1	367778	8	9
367785	3	367784	2	5
367790	2	367789	2	4
367793	2	367792	7	9
367808	2	367807	4	6
367811	2	367810	4	6
367818	2	367817	1	3
367832	4	367831	15	19
367833	3	1274	2	5
367847	1	367846	1	2
367854	5	367853	6	11
367860	3	367859	10	13
367869	2	367868	1	3
367880	9	367879	8	17
367889	3	1321	4	7
367891	1	367890	4	5
367896	2	367895	1	3
367899	1	367898	4	5
367900	6	1346	3	9
367903	1	367902	3	4
367905	5	367904	1	6
367910	5	367909	1	6
367911	3	288325	4	7
367913	2	367912	2	4
367928	1	1365	1	2
367936	4	367935	4	8
367938	5	367937	5	10
367940	5	367939	5	10
367949	2	1373	4	6
367953	4	810703	4	8
367963	1	367962	3	4
367966	8	367965	2	10
367971	2	1392	1	3
367972	3	367970	9	12
367977	4	367976	8	12
367980	1	367979	1	2
367986	9	367985	3	12
367996	3	367995	1	4
367997	5	367994	22	27
368011	7	1413	1	8
368035	6	368034	3	9
368039	7	368038	9	16
368047	14	368046	9	23
368051	13	1445	7	20
368053	16	368052	11	27
368055	10	368054	12	22
368062	7	368061	5	12
368087	3	368086	1	4
368089	2	288357	1	3
368107	2	368106	1	3
368111	3	368110	4	7
368114	1	368113	2	3
368116	6	368115	4	10
368118	4	368117	1	5
368120	6	1493	5	11
368134	1	368133	1	2
368135	1	810782	2	3
368146	2	368145	1	3
368149	1	368148	1	2
368162	4	1529	2	6
368164	1	368163	3	4
368168	2	368167	1	3
368170	2	368169	2	4
368171	7	1533	4	11
368172	2	1534	1	3
368181	6	368180	1	7
368192	2	368191	2	4
368205	11	1553	5	16
368226	11	1584	1	12
368234	7	368233	4	11
368248	1	368247	1	2
368255	1	368254	3	4
368261	1	368260	1	2
368269	2	368268	5	7
368277	11	368276	3	14
368290	3	368289	2	5
368297	1	368296	4	5
368303	8	368302	1	9
368307	4	368306	1	5
368310	1	368309	2	3
368321	3	368320	5	8
368324	2	368323	4	6
368329	1	1659	3	4
368334	4	368333	2	6
368335	4	1661	4	8
368338	4	368337	2	6
368349	4	368348	3	7
368351	6	368350	8	14
368365	4	368364	2	6
368369	1	368368	11	12
368383	3	368382	6	9
368399	5	368398	5	10
368401	5	368400	1	6
368403	4	1725	14	18
368416	8	368415	2	10
368425	2	368424	3	5
368440	3	368439	2	5
368446	5	368445	1	6
368449	3	368448	8	11
368463	2	368462	1	3
368466	1	368465	1	2
368475	3	368474	5	8
368478	1	368477	4	5
368480	5	368479	1	6
368483	1	368482	4	5
368504	5	368503	3	8
368509	6	368508	3	9
368517	1	368516	5	6
368518	3	1816	4	7
368530	7	1823	5	12
368534	2	1825	3	5
368537	4	368536	45	49
368545	4	368544	6	10
368548	1	368547	2	3
368551	6	368550	5	11
368553	4	368552	1	5
368557	3	368556	7	10
368559	1	368558	2	3
368565	5	368564	3	8
368567	2	368566	5	7
368591	9	368590	2	11
368593	6	1885	5	11
368596	5	1888	2	7
368606	6	288446	1	7
368609	5	368608	2	7
368611	5	368610	1	6
368620	8	368619	10	18
368657	1	368656	5	6
368661	4	810971	11	15
368665	3	368664	2	5
368671	1	1963	2	3
368676	3	368675	3	6
368679	3	368678	4	7
368691	1	368690	1	2
368693	3	368692	1	4
368697	1	1987	4	5
368704	2	368703	2	4
368716	3	368715	5	8
368732	1	368731	1	2
368742	3	368741	2	5
368747	2	368746	4	6
368748	5	811014	11	16
368750	5	2036	2	7
368755	2	368754	3	5
368768	4	368767	2	6
368780	1	368779	6	7
368788	3	368787	7	10
368804	8	368803	2	10
368823	1	368822	2	3
368837	4	368836	1	5
368841	1	368840	1	2
368843	2	368842	3	5
368846	7	368845	5	12
368849	2	2098	2	4
368859	15	368858	9	24
368864	4	368863	2	6
368872	2	368871	4	6
368874	10	368873	5	15
368880	8	368879	4	12
368896	23	368895	11	34
368902	5	368901	6	11
368904	4	2141	1	5
368914	2	368913	1	3
368930	5	368929	2	7
368937	2	368936	5	7
368940	2	368939	1	3
368942	3	2182	2	5
368946	2	368945	4	6
368949	2	368948	1	3
368956	2	368955	5	7
368971	4	368970	1	5
368987	3	368986	2	5
369004	3	369003	5	8
369018	1	369017	3	4
369021	3	369020	6	9
369030	10	369029	3	13
369033	10	369032	3	13
369035	5	811125	3	8
369041	2	369040	5	7
369043	6	369042	4	10
369046	3	369045	5	8
369057	4	369056	4	8
369064	2	2270	2	4
369075	13	369074	1	14
369079	3	369078	5	8
369089	3	369088	1	4
369092	6	369091	4	10
369094	4	369093	1	5
369107	3	369106	3	6
369113	4	369112	5	9
369117	1	2307	9	10
369126	10	369125	12	22
369129	9	369128	14	23
369147	1	369146	12	13
369168	3	369167	7	10
369172	5	369171	2	7
369174	2	369173	2	4
369177	9	2341	4	13
369186	10	369185	3	13
369192	5	369191	6	11
369193	6	2365	4	10
369196	2	369195	1	3
369199	4	2375	3	7
369201	2	369200	4	6
369203	7	369202	1	8
369207	1	369206	7	8
369209	4	369208	3	7
369211	4	369210	2	6
369213	7	369212	2	9
369216	1	369215	1	2
369224	7	369223	1	8
369242	5	2401	2	7
369248	8	369247	4	12
369254	8	369253	4	12
369261	5	369260	3	8
369273	3	369272	1	4
369282	2	2436	3	5
369284	3	369283	3	6
369288	6	369287	13	19
369303	4	369302	8	12
369307	1	369306	3	4
369318	2	369317	6	8
369344	1	369343	5	6
369348	5	369347	4	9
369350	5	369349	4	9
369356	2	369355	1	3
369362	5	2468	3	8
369366	2	2470	2	4
369368	8	369367	4	12
369380	4	369379	8	12
369382	8	369381	7	15
369385	3	369384	5	8
369390	1	369389	2	3
369392	4	369391	4	8
369402	8	369401	8	16
369408	33	369407	6	39
369414	3	369413	4	7
369416	2	369415	3	5
369422	2	369421	1	3
369424	4	369423	5	9
369441	6	369440	3	9
369454	3	369453	6	9
369458	8	369457	3	11
369462	3	369461	1	4
369468	3	369467	1	4
369472	2	369471	5	7
369480	1	369479	1	2
369482	4	369481	4	8
369506	2	369505	5	7
369518	9	369517	2	11
369521	2	369520	5	7
369524	4	369523	6	10
369526	5	369525	2	7
369535	18	369534	5	23
369540	1	369539	2	3
369545	1	369544	2	3
369547	2	369546	16	18
369551	2	369550	1	3
369567	3	369565	6	9
369568	4	2576	2	6
369576	5	369575	8	13
369583	13	369582	7	20
369596	3	369595	4	7
369602	2	811325	1	3
369605	1	2600	1	2
369610	1	369609	5	6
369615	3	369613	2	5
369617	2	369616	1	3
369634	4	2617	1	5
369639	4	369638	4	8
369643	6	369642	8	14
369645	7	369644	6	13
369651	2	369650	2	4
369653	3	369652	6	9
369658	2	369657	5	7
369664	6	369663	2	8
369673	3	369672	3	6
369675	10	369674	11	21
369686	1	369685	9	10
369690	2	369689	2	4
369696	3	369695	3	6
369700	3	369699	2	5
369710	3	2651	5	8
369719	5	369718	5	10
369721	2	369720	6	8
369724	1	369723	4	5
369726	3	369725	2	5
369736	6	369735	4	10
369748	2	369747	2	4
369749	6	2665	4	10
369759	1	369758	4	5
369761	8	811371	6	14
369763	4	369762	4	8
369770	3	369769	6	9
369773	2	2674	1	3
369776	3	369775	7	10
369778	5	369777	4	9
369780	4	369779	6	10
369786	12	369785	5	17
369793	4	369792	2	6
369797	4	369796	1	5
369821	4	369820	15	19
369830	7	369829	8	15
369840	7	369839	2	9
369843	6	2717	3	9
369845	5	369844	20	25
369852	3	369851	13	16
369854	10	369853	4	14
369857	3	369856	2	5
369859	15	369858	7	22
369867	14	369866	2	16
369869	7	369868	4	11
369872	2	369871	2	4
369892	7	369891	8	15
369897	16	369896	3	19
369905	4	369904	2	6
369907	14	369906	5	19
369911	11	369910	5	16
369913	1	369912	5	6
369925	2	369924	7	9
369929	11	369928	8	19
369937	4	369936	2	6
369941	6	369940	3	9
369946	3	369945	5	8
369957	1	369956	11	12
369967	4	369966	7	11
369970	2	369969	2	4
369974	4	288631	23	27
369976	6	369975	13	19
369979	12	369978	1	13
369981	1	369980	2	3
369985	10	369984	6	16
369987	8	369986	5	13
369990	8	369989	4	12
369993	3	369992	3	6
369995	2	369994	3	5
370001	4	370000	5	9
370003	3	370002	4	7
370009	2	370008	2	4
370012	1	370011	2	3
370015	5	370014	11	16
370018	4	370017	3	7
370023	2	370022	2	4
370025	4	370024	2	6
370031	7	370030	3	10
370042	2	370041	5	7
370044	3	370043	3	6
370048	5	370047	2	7
370060	4	370059	6	10
370062	3	370061	3	6
370063	2	2756	3	5
370065	10	370064	13	23
370071	5	370070	2	7
370074	4	370073	3	7
370084	2	370083	6	8
370103	8	370102	4	12
370110	4	2790	2	6
370112	10	2796	10	20
370115	5	370114	1	6
370126	10	370125	4	14
370135	4	370134	1	5
370137	3	370136	8	11
370145	2	370144	4	6
370148	4	370147	11	15
370151	5	370150	5	10
370160	8	2824	5	13
370164	2	370163	7	9
370168	6	370167	1	7
370171	1	2825	1	2
370176	4	370175	6	10
370178	3	370177	7	10
370183	2	370182	3	5
370187	6	2836	4	10
370199	1	2846	5	6
370206	1	370205	11	12
370217	6	370216	2	8
370219	1	370218	1	2
370223	5	370222	3	8
370236	2	370235	2	4
370248	6	370247	2	8
370252	1	811534	7	8
370260	1	370259	4	5
370262	9	370261	8	17
370275	10	370274	7	17
370279	9	370278	2	11
370284	4	370283	7	11
370292	4	370291	7	11
370297	1	370296	40	41
370303	6	370302	14	20
370319	3	370318	4	7
370324	8	2889	12	20
370334	3	370333	2	5
370335	7	2897	7	14
370338	22	370337	3	25
370340	4	370339	13	17
370342	1	370341	5	6
370354	9	370353	7	16
370360	6	2914	7	13
370369	3	370368	5	8
370381	2	370380	3	5
370384	6	370383	5	11
370388	3	370387	5	8
370410	3	370409	7	10
370420	5	370419	1	6
370423	3	811588	1	4
370434	2	370433	3	5
370440	4	370439	5	9
370444	1	370443	4	5
370455	16	370454	4	20
370456	2	288691	3	5
370476	1	370475	3	4
370479	1	370478	2	3
370485	1	370484	7	8
370489	1	370488	2	3
370491	3	370490	1	4
370501	3	370500	3	6
370505	3	370504	4	7
370507	11	370506	3	14
370509	3	370508	1	4
370512	2	370511	3	5
370515	7	370514	70	77
370518	5	370517	10	15
370530	2	370529	1	3
370535	7	370534	4	11
370537	5	370536	2	7
370539	6	370538	9	15
370549	3	370548	12	15
370558	3	370557	6	9
370564	5	370563	12	17
370568	7	370567	4	11
370573	8	370572	3	11
370575	2	370574	10	12
370577	12	370576	22	34
370595	3	370594	4	7
370605	11	370604	2	13
370629	18	370628	12	30
370631	26	370630	11	37
370636	4	370635	4	8
370642	6	370641	6	12
370643	2	3058	1	3
370645	1	370644	3	4
370647	4	370646	6	10
370651	5	370650	7	12
370657	3	370656	3	6
370664	3	370663	1	4
370668	6	370667	3	9
370670	7	370669	4	11
370675	3	370674	6	9
370685	4	370684	5	9
370690	13	370689	11	24
370693	5	370692	5	10
370695	19	370694	4	23
370705	5	370704	7	12
370710	11	370709	4	15
370727	7	370726	8	15
370735	12	370734	8	20
370737	5	370736	4	9
370739	3	370738	2	5
370741	4	370740	6	10
370746	2	370745	2	4
370749	8	370748	2	10
370756	3	370755	1	4
370764	4	370763	4	8
370770	3	370769	4	7
370772	11	370771	2	13
370777	2	370776	5	7
370782	1	370781	1	2
370784	7	370783	1	8
370796	2	370795	8	10
370798	4	370797	1	5
370803	2	370802	9	11
370812	2	370811	5	7
370813	2	811722	5	7
370819	3	3103	3	6
370832	4	288751	5	9
370834	1	370833	4	5
370837	7	370836	8	15
370847	7	3110	4	11
370856	2	370855	7	9
370861	4	811738	2	6
370866	1	370865	5	6
370876	9	370875	9	18
370882	6	370881	6	12
370888	7	370887	3	10
370892	3	370891	5	8
370894	4	370893	8	12
370897	4	370896	4	8
370903	4	370902	8	12
370912	7	370911	3	10
370915	3	370914	6	9
370917	5	370916	7	12
370933	4	370932	3	7
370936	7	370935	5	12
370938	8	370937	2	10
370940	5	370939	3	8
370945	5	288768	4	9
370964	2	370963	3	5
370977	5	370976	2	7
370979	5	370978	3	8
370982	1	370981	2	3
370986	4	370985	11	15
370989	2	370988	7	9
370992	5	370991	4	9
370994	2	370993	4	6
371014	3	3196	1	4
371016	3	371015	4	7
371018	3	371017	2	5
371021	7	288778	6	13
371032	1	371031	4	5
371040	2	371039	1	3
371053	3	811814	6	9
371060	5	371059	6	11
371067	2	371066	1	3
371070	7	371069	2	9
371091	2	371090	4	6
371094	5	371093	3	8
371096	3	371095	2	5
371099	8	371098	5	13
371117	3	3257	6	9
371119	10	371118	5	15
371128	8	371127	1	9
371133	5	371132	4	9
371148	3	288799	4	7
371151	9	371150	7	16
371153	8	371152	10	18
371162	3	371161	8	11
371164	7	371163	3	10
371168	5	371167	4	9
371170	2	371169	8	10
371177	2	371176	3	5
371180	2	371179	5	7
371182	3	371181	4	7
371192	2	371191	5	7
371207	8	371206	7	15
371209	11	371208	12	23
371227	1	288810	11	12
371234	9	371233	4	13
371237	6	371236	8	14
371240	10	371239	2	12
371243	5	371242	6	11
371253	7	3314	1	8
371265	4	371264	5	9
371268	8	371267	4	12
371272	4	371271	14	18
371276	5	371275	3	8
371282	5	371281	4	9
371289	4	371288	6	10
371291	3	371290	7	10
371316	5	371315	4	9
371334	11	371333	4	15
371355	2	371354	8	10
371358	9	371357	4	13
371364	3	371363	4	7
371367	5	371366	3	8
371370	4	371369	2	6
371379	2	3375	5	7
371387	7	371386	2	9
371391	7	371390	2	9
371393	11	371392	4	15
371400	13	371399	7	20
371403	4	371402	7	11
371404	7	3378	1	8
371407	4	371406	2	6
371418	5	371417	2	7
371420	3	371419	7	10
371423	5	371422	3	8
371431	7	371430	7	14
371433	11	371432	5	16
371438	3	371437	8	11
371443	1	371442	1	2
371444	7	288831	3	10
371449	3	371448	8	11
371454	10	371453	8	18
371458	2	371457	4	6
371460	1	371459	10	11
371464	4	371463	6	10
371487	5	371486	9	14
371492	8	371491	3	11
371511	5	371510	5	10
371526	5	371525	2	7
371541	3	371540	2	5
371542	8	3428	3	11
371545	3	371544	7	10
371556	3	371555	7	10
371565	6	371564	7	13
371568	11	371567	2	13
371575	5	371574	3	8
371582	3	371581	14	17
371611	4	371610	3	7
371614	7	371613	8	15
371625	1	371624	6	7
371632	8	371631	1	9
371648	3	371647	4	7
371658	2	371657	7	9
371669	1	371668	3	4
371673	7	371672	14	21
371675	3	371674	10	13
371680	6	371679	14	20
371699	4	371698	3	7
371711	3	371710	10	13
371715	6	371714	10	16
371722	3	371721	5	8
371726	5	371725	4	9
371729	2	371728	2	4
371745	12	371744	9	21
371751	7	371750	7	14
371757	3	371756	6	9
371765	2	371764	7	9
371779	9	371778	10	19
371785	6	371784	8	14
371791	14	371790	7	21
371805	1	371804	4	5
371807	12	371806	3	15
371821	5	3495	3	8
371825	7	371824	5	12
371827	3	371826	3	6
371834	10	371833	2	12
371839	7	371838	5	12
371841	2	371840	11	13
371848	3	371846	9	12
371851	7	371850	1	8
371853	12	371852	1	13
371856	15	371855	12	27
371872	8	371871	2	10
371874	9	371873	9	18
371876	11	371875	5	16
371886	7	371885	7	14
371901	6	371900	2	8
371910	3	812121	15	18
371914	15	371913	2	17
371925	8	3542	8	16
371941	3	371940	7	10
371946	9	371945	14	23
371948	3	371947	8	11
371952	80	371951	4	84
371959	3	371958	4	7
371962	5	371961	12	17
371964	4	371963	2	6
371969	9	3562	5	14
371986	1	3565	6	7
371990	25	371989	5	30
372009	6	372008	5	11
372011	2	372010	1	3
372025	8	372024	2	10
372031	9	372030	4	13
372032	7	812169	7	14
372034	5	3576	5	10
372036	8	372035	7	15
372042	3	372041	1	4
372045	2	372044	3	5
372047	9	372046	5	14
372049	2	288891	1	3
372052	3	372051	4	7
372062	12	372061	2	14
372064	7	372063	6	13
372091	2	288893	8	10
372094	2	372093	6	8
372108	5	372107	4	9
372115	5	372114	1	6
372118	3	372117	11	14
372121	5	372120	4	9
372125	5	372124	4	9
372128	9	372127	9	18
372130	12	372129	6	18
372135	5	372134	9	14
372141	5	372140	8	13
372144	9	988047	3	12
372148	7	288903	4	11
372154	3	372153	19	22
372163	5	372162	1	6
372166	11	372165	14	25
372171	10	372170	12	22
372175	2	288907	4	6
372179	8	372178	6	14
372196	7	372195	6	13
372198	4	372197	6	10
372213	2	372212	3	5
372218	3	372217	8	11
372228	5	372227	1	6
372229	9	3645	5	14
372233	4	372232	9	13
372240	5	372239	7	12
372242	2	372241	1	3
372243	4	3652	2	6
372259	2	372258	4	6
372260	4	3661	1	5
372268	6	372267	2	8
372289	4	372288	6	10
372291	4	372290	8	12
372299	22	372298	8	30
372302	10	372301	22	32
372305	3	372304	10	13
372312	15	372311	8	23
372318	4	372317	6	10
372332	5	372331	9	14
372340	1	372339	10	11
372344	4	812295	1	5
372352	4	372351	6	10
372364	6	372363	1	7
372369	4	372368	23	27
372371	22	372370	1	23
372381	3	372380	14	17
372383	8	372382	5	13
372396	5	372395	13	18
372399	5	372398	3	8
372403	2	372402	31	33
372417	14	372416	3	17
372421	6	372420	5	11
372434	4	372433	4	8
372437	9	372436	15	24
372444	3	372443	1	4
372451	11	3746	6	17
372470	4	372469	5	9
372473	7	372472	1	8
372478	8	372477	2	10
372485	2	372484	11	13
372487	13	372486	8	21
372488	5	288955	6	11
372492	7	372491	2	9
372507	2	372506	10	12
372522	7	372521	7	14
372535	3	372534	5	8
372539	4	372538	4	8
372541	6	372540	4	10
372554	4	372553	1	5
372557	1	372556	12	13
372580	1	372579	6	7
372585	5	372584	4	9
372606	4	372605	7	11
372609	6	372608	73	79
372625	5	372624	5	10
372632	9	812411	15	24
372638	14	372637	5	19
372685	8	372684	3	11
372689	2	372688	2	4
372695	6	372694	6	12
372705	5	372704	29	34
372728	5	372727	1	6
372729	1	3885	7	8
372747	3	289014	1	4
372752	4	372751	5	9
372774	4	372773	11	15
372794	12	372793	19	31
372808	9	372807	1	10
372815	5	372814	6	11
372846	2	372845	2	4
372848	2	372847	1	3
372851	6	372850	3	9
372883	11	372882	16	27
372912	4	372911	10	14
372971	32	372970	10	42
373058	2	4111	3	5
373063	1	373062	6	7
373071	10	373070	13	23
373089	1	373088	21	22
373093	14	812677	8	22
373101	7	4123	8	15
373102	4	4125	5	9
373106	25	373105	2	27
373119	22	373118	7	29
373124	7	373123	14	21
373128	5	373127	11	16
373132	7	373131	8	15
373158	5	373157	8	13
373160	7	373159	14	21
373165	4	373164	2	6
373167	5	373166	7	12
373169	12	373168	5	17
373172	14	373171	5	19
373178	8	373177	6	14
373182	8	373181	5	13
373184	7	373183	8	15
373186	7	373185	4	11
373190	9	373189	11	20
373195	8	373194	12	20
373196	12	812714	7	19
373209	5	373208	5	10
373212	49	373211	6	55
373217	5	373216	42	47
373220	9	373219	5	14
373231	10	373230	14	24
373233	7	4196	7	14
373235	5	373234	2	7
373237	3	373236	17	20
373239	6	812735	5	11
373244	5	373243	12	17
373248	3	373247	14	17
373251	4	373250	10	14
373253	5	373252	3	8
373263	2	373262	4	6
373266	2	373265	4	6
373272	8	373271	6	14
373282	5	373281	9	14
373285	11	373284	6	17
373289	9	373288	9	18
373295	10	373294	4	14
373298	8	373297	30	38
373300	5	4225	1	6
373338	5	373337	4	9
373350	6	373349	7	13
373351	13	289185	6	19
373358	5	373357	11	16
373361	32	373360	12	44
373365	8	373364	4	12
373373	3	373372	7	10
373379	14	373378	14	28
373382	3	4268	2	5
373392	1	373391	3	4
373398	7	373397	8	15
373403	5	373402	14	19
373420	1	373419	5	6
373424	3	4284	1	4
373426	7	373425	7	14
373429	5	373428	13	18
373432	4	289201	3	7
373433	6	289202	13	19
373435	6	373434	6	12
373444	11	373443	4	15
373448	12	373447	1	13
373460	3	373459	10	13
373469	5	373468	6	11
373471	7	373470	1	8
373485	3	373484	23	26
373487	34	289209	10	44
373494	11	373493	5	16
373495	2	4325	5	7
373505	10	373504	3	13
373507	8	4327	4	12
373526	6	373525	4	10
373533	5	373532	46	51
373552	1	373551	7	8
373571	3	373570	2	5
373575	20	812859	21	41
373577	1	373576	3	4
373581	15	373580	1	16
373587	3	373586	4	7
373593	5	373592	6	11
373604	4	373603	8	12
373606	6	373605	8	14
373619	15	4371	6	21
373625	6	373624	2	8
373630	7	373629	1	8
373632	8	289230	4	12
373638	11	373637	4	15
373640	4	373639	6	10
373645	5	373644	2	7
373647	2	373646	11	13
373656	9	373655	6	15
373659	4	373658	1	5
373670	3	373669	5	8
373677	2	373676	1	3
373701	7	373700	7	14
373703	6	373702	2	8
373711	8	373710	9	17
373714	3	373713	9	12
373721	6	373720	8	14
373725	5	373724	2	7
373732	3	373731	6	9
373739	5	373738	8	13
373748	5	373747	10	15
373753	5	4434	1	6
373763	5	373762	5	10
373769	14	373768	2	16
373772	9	373771	1	10
373785	2	373784	8	10
373787	4	373786	2	6
373788	8	4454	4	12
373806	6	373805	1	7
373812	2	373811	6	8
373819	2	373818	5	7
373821	3	373820	18	21
373828	5	373827	3	8
373831	8	373830	1	9
373843	3	373842	9	12
373848	6	373847	11	17
373854	7	373853	3	10
373867	17	373866	3	20
373870	4	373869	6	10
373873	4	373872	2	6
373878	1	373877	5	6
373881	4	373880	2	6
373893	8	373892	19	27
373899	1	373898	4	5
373912	5	373911	15	20
373920	5	373919	12	17
373925	14	4505	3	17
373945	11	373944	11	22
373952	14	373951	6	20
373957	1	373956	3	4
373972	3	373971	3	6
373978	5	373977	2	7
374009	1	374008	3	4
374017	6	374016	6	12
374019	7	374018	4	11
374022	2	374020	3	5
374024	12	374023	3	15
374027	3	374026	1	4
374030	8	374029	12	20
374036	5	374035	9	14
374039	8	374038	10	18
374071	13	374070	1	14
374079	1	374078	2	3
374081	8	374080	11	19
374083	5	374082	2	7
374092	4	4581	2	6
374099	4	374098	2	6
374101	2	374100	4	6
374108	2	374107	4	6
374112	2	374111	2	4
374115	1	374114	4	5
374127	4	374126	5	9
374130	6	374129	3	9
374177	8	374176	5	13
374179	2	374178	3	5
374188	3	374187	4	7
374192	10	374191	4	14
374201	1	374200	4	5
374205	4	4642	1	5
374221	5	374220	4	9
374230	3	374229	8	11
374234	5	374233	8	13
374242	8	374241	8	16
374254	16	374253	6	22
374257	5	374256	10	15
374258	12	4669	7	19
374263	16	374262	8	24
374268	10	374267	9	19
374269	9	4679	11	20
374274	5	374273	10	15
374283	18	374282	64	82
374327	6	374326	12	18
374329	7	374328	3	10
374340	1	374339	5	6
374354	2	374353	8	10
374358	6	374357	1	7
374376	16	374375	5	21
374384	2	374383	3	5
374389	12	374388	8	20
374392	6	374391	12	18
374395	9	374394	3	12
374398	5	374397	7	12
374401	6	374400	8	14
374411	9	374410	6	15
374417	15	374416	11	26
374427	2	374426	9	11
374453	2	374452	9	11
374455	8	374454	6	14
374471	3	374470	3	6
374502	25	813233	3	28
374505	14	374504	9	23
374511	6	374510	10	16
374533	14	374532	10	24
374540	7	374539	11	18
374542	1	374541	6	7
374554	5	374553	3	8
374577	8	374576	22	30
374601	4	289376	1	5
374620	6	374619	1	7
374630	4	374629	4	8
374633	8	374632	1	9
374637	3	374636	8	11
374644	9	374643	1	10
374653	2	374652	2	4
374660	5	374659	2	7
374668	2	374667	5	7
374674	6	374673	6	12
374683	4	374682	3	7
374704	14	374703	8	22
374709	13	374708	10	23
374718	9	4960	6	15
374729	17	4973	8	25
374731	4	374730	26	30
374733	5	4974	4	9
374743	10	4976	4	14
374760	1	374759	3	4
374769	1	374768	1	2
374774	6	4994	1	7
374803	6	374802	3	9
374806	1	374805	8	9
374816	3	374815	3	6
374825	1	374824	4	5
374833	6	374832	9	15
374841	3	374840	4	7
374845	5	813401	6	11
374852	9	374851	17	26
374857	6	374856	7	13
374864	4	374863	5	9
374866	4	374865	5	9
374881	1	374880	5	6
374887	1	374886	3	4
374924	1	374923	2	3
374946	1	374945	2	3
374949	2	374948	1	3
374954	12	374953	4	16
374967	1	374966	2	3
374970	2	813457	1	3
374980	1	374979	3	4
374983	6	374982	1	7
374985	8	374984	1	9
374995	4	374994	2	6
375005	1	375004	3	4
375018	1	375017	1	2
375045	1	375044	2	3
375066	3	375065	15	18
375079	7	289465	7	14
375082	3	375081	2	5
375103	7	375102	2	9
375134	9	375133	3	12
375138	3	375137	5	8
375143	3	375142	1	4
375177	7	375176	2	9
375183	1	375182	1	2
375208	1	375207	1	2
375222	3	375221	7	10
375226	6	375225	5	11
375246	8	375245	10	18
375250	9	375249	5	14
375252	2	289490	1	3
375255	7	375254	10	17
375260	12	375259	7	19
375271	3	375270	6	9
375287	10	375286	2	12
375291	9	375290	1	10
375293	2	375292	2	4
375295	3	375294	6	9
375299	8	375298	1	9
375310	5	375309	1	6
375326	9	375325	12	21
375329	8	375328	2	10
375330	2	5333	2	4
375346	3	375345	4	7
375349	11	289504	4	15
375351	4	375350	2	6
375357	7	375356	6	13
375376	15	375375	7	22
375382	9	375381	10	19
375384	11	375383	2	13
375386	14	375385	2	16
375397	2	375396	2	4
375406	2	375405	8	10
375416	2	375415	4	6
375417	6	813643	3	9
375421	6	375420	1	7
375423	3	375422	2	5
375426	1	375425	6	7
375430	4	375429	6	10
375441	2	375438	3	5
375450	1	375449	1	2
375471	4	375470	3	7
375475	13	375474	6	19
375485	3	375484	8	11
375488	3	375487	9	12
375493	4	375492	2	6
375500	12	375499	2	14
375502	9	375501	20	29
375503	6	5411	5	11
